"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"VALUE";
"2";"0.1μF";"CAP_CERAMIC_2.54";"CAP_PTH-2.54";"C2, C4";"";"";"";"";"";"";"";"";
"2";"1.0μF";"CAP_CERAMIC_2.54";"CAP_PTH-2.54";"C1, C3";"";"";"";"";"";"";"";"";
"4";"10k";"10KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"R1, R2, R3, R4";"10kΩ resistor";"";"";"";"";"";"RES-12183";"10k";
"1";"2-PIN";"HDR-2";"HDR-2_VERT";"RPOWER";"";"";"";"";"";"";"";"";
"1";"2.2k";"10KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"R5";"10kΩ resistor";"";"";"";"";"";"RES-12183";"10k";
"2";"2N7000";"2N7000";"TO-92";"Q1, Q2";"";"";"";"";"";"";"";"";
"1";"3-PIN";"MA03-1";"MA03-1";"VCC";"PIN HEADER";"";"";"unknown";"unknown";"48";"";"";
"2";"4-PIN";"HDR-4";"HDR-4_VERT";"LCD, RELAY";"PIN HEADER";"";"";"";"";"";"";"";
"1";"PWR";"W237-102";"W237-102";"POWER";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";
"1";"RJ45-8X";"RJ45-8X";"RJ45-NO-SHIELD-NOLINE";"J1";"CORCOM Modular RJ Jacks No Shield";"";"RJ45-8X";"unknown";"16R6101";"";"";"";
"1";"WEMOSNOTEXT";"WEMOSNOTEXT";"WEMOS_D1-NOTEXT";"U$1";"";"";"";"";"";"";"";"";
