"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"SPICEPREFIX";"VALUE";
"BUZZER";"JP1";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"56";"";"C";"";
"C2";"0.1uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";"";"";"";"56";"";"C";"";
"J1";"RJ45-8X";"RJ45-8X";"RJ45-NO-SHIELD-NOLINE";"CORCOM Modular RJ Jacks No Shield";"";"RJ45-8X";"unknown";"16R6101";"";"";"";"";
"Q1";"2N7000";"2N7000";"TO-92";"N-Channel MOSFET";"";"";"";"";"";"";"";"";
"Q2";"2N7000";"2N7000";"TO-92";"N-Channel MOSFET";"";"";"";"";"";"";"";"";
"R1";"10k";"10KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"10kΩ resistor";"";"";"";"";"";"RES-12183";"";"10k";
"R2";"10k";"10KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"10kΩ resistor";"";"";"";"";"";"RES-12183";"";"10k";
"R3";"10k";"10KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"10kΩ resistor";"";"";"";"";"";"RES-12183";"";"10k";
"R4";"10k";"10KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"10kΩ resistor";"";"";"";"";"";"RES-12183";"";"10k";
"R5";"2.2k";"10KOHM-HORIZ-1/4W-1%";"AXIAL-0.3";"10kΩ resistor";"";"";"";"";"";"RES-12183";"";"10k";
"SV1";"RELAY";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";
"SV2";"LCD";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";
"U$1";"WEMOS";"WEMOS";"WEMOS";"";"";"";"";"";"";"";"";"";
"X";"PWR";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"";"";"";
